Title,Category,Release date,Ratings,Metascore,Page URL
 Romeo Must Die,movie,"MAR 22, 2000",R,52,https://www.metacritic.com/movie/romeo-must-die/
The Last Thing Mary Saw,movie,"JAN 20, 2022",N/A,52,https://www.metacritic.com/movie/the-last-thing-mary-saw/
The Nines,movie,"AUG 31, 2007",R,52,https://www.metacritic.com/movie/the-nines/
The Frighteners,movie,"JUL 19, 1996",R,52,https://www.metacritic.com/movie/the-frighteners/
Janie Jones,movie,"OCT 28, 2011",Not Rated,52,https://www.metacritic.com/movie/janie-jones/
Hit So Hard,movie,"APR 13, 2012",Not Rated,52,https://www.metacritic.com/movie/hit-so-hard/
Peeples,movie,"MAY 10, 2013",PG-13,52,https://www.metacritic.com/movie/peeples/
Safe House,movie,"FEB 10, 2012",R,52,https://www.metacritic.com/movie/safe-house/
Bilal: A New Breed of Hero,movie,"OCT 7, 2016",PG-13,52,https://www.metacritic.com/movie/bilal-a-new-breed-of-hero/
Labor Day,movie,"DEC 27, 2013",PG-13,52,https://www.metacritic.com/movie/labor-day-2013/
The Hunger,movie,"APR 29, 1983",R,52,https://www.metacritic.com/movie/the-hunger/
One Chance,movie,"OCT 10, 2014",PG-13,52,https://www.metacritic.com/movie/one-chance/
The Interview,movie,"DEC 25, 2014",R,52,https://www.metacritic.com/movie/the-interview/
RoboCop,movie,"FEB 12, 2014",PG-13,52,https://www.metacritic.com/movie/robocop-2013/
The Big Ugly,movie,"JUL 24, 2020",R,52,https://www.metacritic.com/movie/the-big-ugly/
Saint Laurent,movie,"MAY 8, 2015",R,52,https://www.metacritic.com/movie/saint-laurent/
Jerry and Marge Go Large,movie,"JUN 17, 2022",PG-13,52,https://www.metacritic.com/movie/jerry-and-marge-go-large/
Touching Home,movie,"MAY 14, 2010",PG-13,52,https://www.metacritic.com/movie/touching-home/
Boris Without Béatrice,movie,"SEP 8, 2017",TV-14,52,https://www.metacritic.com/movie/boris-without-beatrice/
Linsanity,movie,"OCT 4, 2013",PG,52,https://www.metacritic.com/movie/linsanity/
Beautiful Creatures,movie,"FEB 14, 2013",PG-13,52,https://www.metacritic.com/movie/beautiful-creatures-2012/
The Main Event,movie,"APR 10, 2020",TV-G,52,https://www.metacritic.com/movie/the-main-event/
Cockneys vs Zombies,movie,"AUG 2, 2013",Not Rated,52,https://www.metacritic.com/movie/cockneys-vs-zombies/
Rebels with a Cause,movie,"NOV 10, 2000",N/A,51,https://www.metacritic.com/movie/rebels-with-a-cause/
 Nothing Bad Can Happen,movie,"JUN 27, 2014",Not Rated,51,https://www.metacritic.com/movie/nothing-bad-can-happen/
Haiku Tunnel,movie,"SEP 14, 2001",R,51,https://www.metacritic.com/movie/haiku-tunnel/
800 Bullets,movie,"OCT 29, 2004",R,51,https://www.metacritic.com/movie/800-bullets/
Seeing Other People,movie,"MAY 7, 2004",R,51,https://www.metacritic.com/movie/seeing-other-people/
We're No Angels,movie,"JUL 7, 1955",Not Rated,51,https://www.metacritic.com/movie/were-no-angels-1969/
Gymkata,movie,"MAY 3, 1985",R,51,https://www.metacritic.com/movie/gymkata/
The Intern,movie,"SEP 25, 2015",PG-13,51,https://www.metacritic.com/movie/the-intern/
The Getaway,movie,"FEB 11, 1994",R,51,https://www.metacritic.com/movie/the-getaway-1994/
The Age of Adaline,movie,"APR 24, 2015",PG-13,51,https://www.metacritic.com/movie/the-age-of-adaline/
96 Minutes,movie,"APR 27, 2012",R,51,https://www.metacritic.com/movie/96-minutes/
The Grass Is Greener,movie,"DEC 23, 1960",Approved,51,https://www.metacritic.com/movie/the-grass-is-greener/
Girls of the Sun,movie,"APR 12, 2019",Not Rated,51,https://www.metacritic.com/movie/girls-of-the-sun/
Final Cut,movie,"JUL 14, 2023",N/A,51,https://www.metacritic.com/movie/final-cut-coupez/
Kuso,movie,"JUL 21, 2017",Not Rated,51,https://www.metacritic.com/movie/kuso/
Whitney Houston: I Wanna Dance With Somebody,movie,"DEC 23, 2022",PG-13,51,https://www.metacritic.com/movie/whitney-houston-i-wanna-dance-with-somebody/
"Hello, Dolly!",movie,"DEC 16, 1969",G,51,https://www.metacritic.com/movie/hello-dolly!/
"Love, Marilyn",movie,"NOV 30, 2012",Not Rated,51,https://www.metacritic.com/movie/love-marilyn/
Woman Walks Ahead,movie,"JUN 29, 2018",R,51,https://www.metacritic.com/movie/woman-walks-ahead/
Uncle Buck,movie,"AUG 16, 1989",PG,51,https://www.metacritic.com/movie/uncle-buck/
The Golden Compass,movie,"DEC 7, 2007",PG-13,51,https://www.metacritic.com/movie/the-golden-compass/
Robin Hood: Prince of Thieves,movie,"JUN 14, 1991",PG-13,51,https://www.metacritic.com/movie/robin-hood-prince-of-thieves/
Skateland,movie,"MAY 13, 2011",PG-13,51,https://www.metacritic.com/movie/skateland/
A Walk in the Woods,movie,"SEP 2, 2015",R,51,https://www.metacritic.com/movie/a-walk-in-the-woods/
Jurassic World: Fallen Kingdom,movie,"JUN 22, 2018",PG-13,51,https://www.metacritic.com/movie/jurassic-world-fallen-kingdom/
 Poetic Justice,movie,"JUL 23, 1993",R,51,https://www.metacritic.com/movie/poetic-justice/
First Descent,movie,"DEC 2, 2005",PG-13,51,https://www.metacritic.com/movie/first-descent/
An American Rhapsody,movie,"AUG 10, 2001",PG-13,51,https://www.metacritic.com/movie/an-american-rhapsody/
Zizek!,movie,"NOV 17, 2005",Not Rated,51,https://www.metacritic.com/movie/zizek!/
Cherish,movie,"JUN 7, 2002",R,51,https://www.metacritic.com/movie/cherish/
Let's Spend the Night Together,movie,"OCT 15, 1982",PG,51,https://www.metacritic.com/movie/lets-spend-the-night-together/
Unfaithfully Yours,movie,"FEB 10, 1984",PG,51,https://www.metacritic.com/movie/unfaithfully-yours/
Mammoth,movie,"NOV 20, 2009",Not Rated,51,https://www.metacritic.com/movie/mammoth/
Age of Uprising: The Legend of Michael Kohlhaas,movie,"MAY 30, 2014",Unrated,51,https://www.metacritic.com/movie/age-of-uprising-the-legend-of-michael-kohlhaas/
La Soga (The Butcher's Son),movie,"AUG 13, 2010",R,51,https://www.metacritic.com/movie/the-butchers-son/
"How Much Does Your Building Weigh, Mr Foster?",movie,"JAN 25, 2012",Not Rated,51,https://www.metacritic.com/movie/how-much-does-your-building-weigh-mr-foster/
Oh Mercy!,movie,,N/A,51,https://www.metacritic.com/movie/oh-mercy!/
Boychoir,movie,"APR 3, 2015",N/A,51,https://www.metacritic.com/movie/boychoir/
Quiet Chaos,movie,"JUN 26, 2009",Not Rated,51,https://www.metacritic.com/movie/quiet-chaos/
The Short Game,movie,"SEP 20, 2013",PG,51,https://www.metacritic.com/movie/the-short-game/
Farming,movie,"OCT 25, 2019",R,51,https://www.metacritic.com/movie/farming/
The Last Full Measure,movie,"JAN 24, 2020",R,51,https://www.metacritic.com/movie/the-last-full-measure/
Eddie and the Cruisers,movie,"SEP 23, 1983",PG,51,https://www.metacritic.com/movie/eddie-and-the-cruisers/
This Beautiful Fantastic,movie,"MAR 10, 2017",PG,51,https://www.metacritic.com/movie/this-beautiful-fantastic/
Windtalkers,movie,"JUN 14, 2002",R,51,https://www.metacritic.com/movie/windtalkers/
Pretty Woman,movie,"MAR 23, 1990",R,51,https://www.metacritic.com/movie/pretty-woman/
A Midsummer Night's Sex Comedy,movie,"JUL 16, 1982",PG,51,https://www.metacritic.com/movie/a-midsummer-nights-sex-comedy/
The Neon Demon,movie,"JUN 24, 2016",R,51,https://www.metacritic.com/movie/the-neon-demon/
Close,movie,"JAN 18, 2019",TV-MA,51,https://www.metacritic.com/movie/close/
 Contraband,movie,"JAN 13, 2012",R,51,https://www.metacritic.com/movie/contraband/
Breathe,movie,"OCT 13, 2017",PG-13,51,https://www.metacritic.com/movie/breathe-2017/
The Brothers Grimm,movie,"AUG 26, 2005",PG-13,51,https://www.metacritic.com/movie/the-brothers-grimm/
Bullet Head,movie,"DEC 8, 2017",R,51,https://www.metacritic.com/movie/bullet-head/
Satanic Panic,movie,"SEP 6, 2019",Not Rated,51,https://www.metacritic.com/movie/satanic-panic/
Cesar Chavez,movie,"MAR 28, 2014",PG-13,51,https://www.metacritic.com/movie/cesar-chavez/
Leviathan,movie,"MAR 17, 1989",R,51,https://www.metacritic.com/movie/leviathan-1989/
The Second Best Exotic Marigold Hotel,movie,"MAR 6, 2015",PG,51,https://www.metacritic.com/movie/the-second-best-exotic-marigold-hotel/
3 Men and a Little Lady,movie,"NOV 21, 1990",PG,51,https://www.metacritic.com/movie/3-men-and-a-little-lady/
"3, 2, 1... Frankie Go Boom",movie,"OCT 12, 2012",Not Rated,51,https://www.metacritic.com/movie/3-2-1-frankie-go-boom/
Self Medicated,movie,"AUG 31, 2007",R,51,https://www.metacritic.com/movie/self-medicated/
Urban Hymn,movie,"MAY 12, 2017",TV-14,51,https://www.metacritic.com/movie/urban-hymn/
Next Door,movie,,N/A,51,https://www.metacritic.com/movie/next-door/
Five Dances,movie,"OCT 4, 2013",TV-14,51,https://www.metacritic.com/movie/five-dances/
The Slumber Party Massacre,movie,"NOV 12, 1982",R,51,https://www.metacritic.com/movie/the-slumber-party-massacre/
You Will Meet a Tall Dark Stranger,movie,"SEP 22, 2010",R,51,https://www.metacritic.com/movie/you-will-meet-a-tall-dark-stranger/
Feast of Love,movie,"SEP 28, 2007",R,51,https://www.metacritic.com/movie/feast-of-love/
High Heels,movie,"DEC 20, 1991",R,51,https://www.metacritic.com/movie/high-heels/
Trust Me,movie,"JUN 6, 2014",R,51,https://www.metacritic.com/movie/trust-me/
Due Date,movie,"NOV 5, 2010",R,51,https://www.metacritic.com/movie/due-date/
Commando,movie,"OCT 4, 1985",R,51,https://www.metacritic.com/movie/commando/
Te Ata,movie,"SEP 29, 2017",PG,51,https://www.metacritic.com/movie/te-ata/
How to Be Single,movie,"FEB 12, 2016",R,51,https://www.metacritic.com/movie/how-to-be-single/
The American Astronaut,movie,"SEP 5, 2001",Not Rated,51,https://www.metacritic.com/movie/the-american-astronaut/
 The American Astronaut,movie,"SEP 5, 2001",Not Rated,51,https://www.metacritic.com/movie/the-american-astronaut/
The Net,movie,"JUL 28, 1995",PG-13,51,https://www.metacritic.com/movie/the-net/
For the Plasma,movie,"JUL 22, 2016",Not Rated,51,https://www.metacritic.com/movie/for-the-plasma/
21 Years: Richard Linklater,movie,"NOV 7, 2014",Not Rated,51,https://www.metacritic.com/movie/21-years-richard-linklater/
Six Days Seven Nights,movie,"JUN 12, 1998",PG-13,51,https://www.metacritic.com/movie/six-days-seven-nights/
The Baxter,movie,"AUG 26, 2005",PG-13,51,https://www.metacritic.com/movie/the-baxter/
The Kid,movie,"MAR 8, 2019",R,51,https://www.metacritic.com/movie/the-kid-2019/
Adam's Apples,movie,"MAR 16, 2007",R,51,https://www.metacritic.com/movie/adams-apples/
The Man with the Iron Fists,movie,"NOV 2, 2012",R,51,https://www.metacritic.com/movie/the-man-with-the-iron-fists/
Love,movie,"OCT 30, 2015",TV-MA,51,https://www.metacritic.com/movie/love-2015/
Mighty Joe Young,movie,"DEC 25, 1998",PG,51,https://www.metacritic.com/movie/mighty-joe-young/
Surge,movie,"SEP 24, 2021",TV-MA,51,https://www.metacritic.com/movie/surge/
Darby and the Dead,movie,"DEC 2, 2022",PG-13,51,https://www.metacritic.com/movie/darby-and-the-dead/
Jack the Giant Slayer,movie,"MAR 1, 2013",PG-13,51,https://www.metacritic.com/movie/jack-the-giant-slayer/
Death at a Funeral,movie,"APR 16, 2010",R,51,https://www.metacritic.com/movie/death-at-a-funeral/
Kids vs. Aliens,movie,"JAN 20, 2023",TV-MA,51,https://www.metacritic.com/movie/kids-vs-aliens/
Valerian and the City of a Thousand Planets,movie,"JUL 21, 2017",PG-13,51,https://www.metacritic.com/movie/valerian-and-the-city-of-a-thousand-planets/
Desierto,movie,"OCT 14, 2016",R,51,https://www.metacritic.com/movie/desierto/
Live From New York!,movie,"JUN 12, 2015",Not Rated,51,https://www.metacritic.com/movie/live-from-new-york!/
Wild Bill,movie,"DEC 1, 1995",R,51,https://www.metacritic.com/movie/wild-bill/
Asylum,movie,"AUG 12, 2005",R,51,https://www.metacritic.com/movie/asylum/
A LEGO Brickumentary,movie,"JUL 31, 2015",G,51,https://www.metacritic.com/movie/a-lego-brickumentary/
Human Capital,movie,"MAR 20, 2020",N/A,51,https://www.metacritic.com/movie/human-capital-2019/
Bird Box,movie,"DEC 14, 2018",R,51,https://www.metacritic.com/movie/bird-box/
 The Legend of Pale Male,movie,"NOV 24, 2010",N/A,51,https://www.metacritic.com/movie/the-legend-of-pale-male/
Freaky Friday,movie,"JAN 21, 1977",G,51,https://www.metacritic.com/movie/freaky-friday-1977/
Earthquake Bird,movie,"NOV 1, 2019",R,51,https://www.metacritic.com/movie/earthquake-bird/
Quasi,movie,"APR 20, 2023",R,51,https://www.metacritic.com/movie/quasi/
The Pelican Brief,movie,"DEC 17, 1993",PG-13,51,https://www.metacritic.com/movie/the-pelican-brief/
Naked in Ashes,movie,"OCT 21, 2005",Not Rated,51,https://www.metacritic.com/movie/naked-in-ashes/
Kaaterskill Falls,movie,"JUN 5, 2002",N/A,51,https://www.metacritic.com/movie/kaaterskill-falls/
Fleeing by Night,movie,"MAY 3, 2002",N/A,51,https://www.metacritic.com/movie/fleeing-by-night/
Km. 0 - Kilometer Zero,movie,"JUL 11, 2003",R,51,https://www.metacritic.com/movie/km-0---kilometer-zero/
Tony Robbins: I Am Not Your Guru,movie,"JUL 13, 2016",TV-MA,51,https://www.metacritic.com/movie/tony-robbins-i-am-not-your-guru/
Birthday Girl,movie,"FEB 1, 2002",R,51,https://www.metacritic.com/movie/birthday-girl/
Le divorce,movie,"AUG 8, 2003",PG-13,51,https://www.metacritic.com/movie/le-divorce/
My Best Friend's Wedding,movie,"JUN 20, 1997",PG-13,51,https://www.metacritic.com/movie/my-best-friends-wedding/
Extreme Prejudice,movie,"APR 24, 1987",R,51,https://www.metacritic.com/movie/extreme-prejudice/
Mamma Mia!,movie,"JUL 18, 2008",PG-13,51,https://www.metacritic.com/movie/mamma-mia!/
Dangerous Lies,movie,"APR 30, 2020",TV-14,51,https://www.metacritic.com/movie/dangerous-lies/
Think Like a Man,movie,"APR 20, 2012",PG-13,51,https://www.metacritic.com/movie/think-like-a-man/
Teenage Mutant Ninja Turtles,movie,"MAR 30, 1990",PG,51,https://www.metacritic.com/movie/teenage-mutant-ninja-turtles-1990/
Project Power,movie,"AUG 14, 2020",R,51,https://www.metacritic.com/movie/project-power/
Snitch,movie,"FEB 22, 2013",PG-13,51,https://www.metacritic.com/movie/snitch/
We Can Be Heroes,movie,"DEC 25, 2020",PG,51,https://www.metacritic.com/movie/we-can-be-heroes/
She's All That,movie,"JAN 29, 1999",PG-13,51,https://www.metacritic.com/movie/shes-all-that/
Skyscraper,movie,"JUL 13, 2018",PG-13,51,https://www.metacritic.com/movie/skyscraper/
Aquamarine,movie,"MAR 3, 2006",PG,51,https://www.metacritic.com/movie/aquamarine/
 Trial by Fire,movie,"MAY 17, 2019",R,51,https://www.metacritic.com/movie/trial-by-fire/
My Date with Drew,movie,"AUG 5, 2005",PG,51,https://www.metacritic.com/movie/my-date-with-drew/
The Face of Love,movie,"MAR 7, 2014",PG-13,51,https://www.metacritic.com/movie/the-face-of-love/
God's Pocket,movie,"MAY 9, 2014",R,51,https://www.metacritic.com/movie/gods-pocket/
Go Back to China,movie,"MAR 6, 2020",TV-14,51,https://www.metacritic.com/movie/go-back-to-china/
The Final Countdown,movie,"AUG 1, 1980",PG,51,https://www.metacritic.com/movie/the-final-countdown/
Everyone's Hero,movie,"SEP 15, 2006",G,51,https://www.metacritic.com/movie/everyones-hero/
The Gods Must Be Crazy II,movie,"APR 13, 1990",PG,51,https://www.metacritic.com/movie/the-gods-must-be-crazy-ii/
Irreversible,movie,"MAR 7, 2003",Not Rated,51,https://www.metacritic.com/movie/irreversible/
Taurus,movie,"NOV 18, 2022",N/A,51,https://www.metacritic.com/movie/taurus/
The Wrath of Becky,movie,"MAY 26, 2023",R,51,https://www.metacritic.com/movie/the-wrath-of-becky/
Risen,movie,"FEB 19, 2016",PG-13,51,https://www.metacritic.com/movie/risen/
Dolly Parton’s Christmas On the Square,movie,"NOV 22, 2020",TV-PG,51,https://www.metacritic.com/movie/dolly-partons-christmas-on-the-square/
Transporter 3,movie,"NOV 26, 2008",PG-13,51,https://www.metacritic.com/movie/transporter-3/
The Song of Names,movie,"DEC 25, 2019",PG-13,51,https://www.metacritic.com/movie/the-song-of-names/
Meet Me in Montenegro,movie,"JUL 10, 2015",Not Rated,51,https://www.metacritic.com/movie/meet-me-in-montenegro/
Jaws 2,movie,"JUN 16, 1978",PG,51,https://www.metacritic.com/movie/jaws-2/
In a Relationship,movie,"NOV 9, 2018",TV-MA,51,https://www.metacritic.com/movie/in-a-relationship/
Saint Ralph,movie,"AUG 5, 2005",PG-13,51,https://www.metacritic.com/movie/saint-ralph/
Umma,movie,"MAR 18, 2022",PG-13,51,https://www.metacritic.com/movie/umma/
,movie,"APR 4, 2003",R,51,https://www.metacritic.com/movie/dysfunktional-family/
Left Luggage,movie,"SEP 22, 2000",Unrated,51,https://www.metacritic.com/movie/left-luggage/
The Liberator,movie,"OCT 3, 2014",R,51,https://www.metacritic.com/movie/the-liberator/
Austin Powers: International Man of Mystery,movie,"MAY 2, 1997",PG-13,51,https://www.metacritic.com/movie/austin-powers-international-man-of-mystery/
 The Road to El Dorado,movie,"MAR 31, 2000",PG,51,https://www.metacritic.com/movie/the-road-to-el-dorado/
The Liberator,movie,"OCT 3, 2014",R,51,https://www.metacritic.com/movie/the-liberator/
Nobody Walks,movie,"OCT 19, 2012",R,51,https://www.metacritic.com/movie/nobody-walks/
The Song of Sway Lake,movie,"SEP 21, 2018",R,51,https://www.metacritic.com/movie/the-song-of-sway-lake/
Casino Jack,movie,"DEC 17, 2010",R,51,https://www.metacritic.com/movie/casino-jack/
The Grinch,movie,"NOV 9, 2018",PG,51,https://www.metacritic.com/movie/the-grinch/
In Our Nature,movie,"DEC 7, 2012",Not Rated,51,https://www.metacritic.com/movie/in-our-nature/
That Demon Within,movie,"APR 18, 2014",N/A,51,https://www.metacritic.com/movie/that-demon-within/
Poison Ivy,movie,"MAY 8, 1992",R,51,https://www.metacritic.com/movie/poison-ivy/
Wild Things,movie,"MAR 20, 1998",R,51,https://www.metacritic.com/movie/wild-things/
The Man Who Killed Hitler and Then The Bigfoot,movie,"FEB 8, 2019",Not Rated,51,https://www.metacritic.com/movie/the-man-who-killed-hitler-and-then-the-bigfoot/
Summer Storm,movie,"OCT 14, 2005",R,51,https://www.metacritic.com/movie/summer-storm/
The Walker,movie,"DEC 7, 2007",R,51,https://www.metacritic.com/movie/the-walker/
Better Off Dead...,movie,"OCT 11, 1985",PG,51,https://www.metacritic.com/movie/better-off-dead/
A Five Star Life,movie,"JUL 18, 2014",Not Rated,51,https://www.metacritic.com/movie/a-five-star-life/
11 Minutes,movie,"APR 8, 2016",Not Rated,51,https://www.metacritic.com/movie/11-minutes/
Finding Amanda,movie,"JUN 30, 2008",R,51,https://www.metacritic.com/movie/finding-amanda/
Cabrini,movie,"MAR 8, 2024",PG-13,51,https://www.metacritic.com/movie/cabrini/
Dumbo,movie,"MAR 29, 2019",PG,51,https://www.metacritic.com/movie/dumbo/
Rough Night,movie,"JUN 16, 2017",R,51,https://www.metacritic.com/movie/rough-night/
Criminal Activities,movie,"NOV 20, 2015",Not Rated,51,https://www.metacritic.com/movie/criminal-activities/
Lost Transmissions,movie,"MAR 13, 2020",N/A,51,https://www.metacritic.com/movie/lost-transmissions/
Peter Rabbit,movie,"FEB 9, 2018",PG,51,https://www.metacritic.com/movie/peter-rabbit/
Blind Date,movie,"SEP 25, 2009",TV-MA,51,https://www.metacritic.com/movie/blind-date/
 Late Phases,movie,"NOV 21, 2014",Not Rated,51,https://www.metacritic.com/movie/late-phases/
The Mosquito Coast,movie,"NOV 26, 1986",PG,51,https://www.metacritic.com/movie/the-mosquito-coast/
The Hard Word,movie,"JUN 13, 2003",R,51,https://www.metacritic.com/movie/the-hard-word/
Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,movie,"FEB 8, 2008",R,51,https://www.metacritic.com/movie/wild-west-comedy-show-30-days-30-nights---hollywood-to-the-heartland/
,movie,"SEP 11, 2013",R,51,https://www.metacritic.com/movie/mademoiselle-c/
White Irish Drinkers,movie,"MAR 25, 2011",R,51,https://www.metacritic.com/movie/white-irish-drinkers/
Doomsday,movie,"MAR 14, 2008",R,51,https://www.metacritic.com/movie/doomsday/
Johnny English,movie,"JUL 18, 2003",PG,51,https://www.metacritic.com/movie/johnny-english/
"Where'd You Go, Bernadette",movie,"AUG 16, 2019",PG-13,51,https://www.metacritic.com/movie/whered-you-go-bernadette/
Operation Fortune: Ruse de Guerre,movie,"MAR 3, 2023",R,51,https://www.metacritic.com/movie/operation-fortune-ruse-de-guerre/
Stanleyville,movie,"APR 22, 2022",N/A,51,https://www.metacritic.com/movie/stanleyville/
Death Wish,movie,"JUL 24, 1974",R,51,https://www.metacritic.com/movie/death-wish-1974/
Dead Reckoning,movie,"DEC 31, 1946",Approved,51,https://www.metacritic.com/movie/dead-reckoning/
Woman in Gold,movie,"APR 1, 2015",PG-13,51,https://www.metacritic.com/movie/woman-in-gold/
The Promotion,movie,"JUN 6, 2008",R,51,https://www.metacritic.com/movie/the-promotion/
Quigley Down Under,movie,"OCT 19, 1990",PG-13,51,https://www.metacritic.com/movie/quigley-down-under/
Private Peaceful,movie,"OCT 31, 2014",Not Rated,51,https://www.metacritic.com/movie/private-peaceful/
My Bloody Valentine,movie,"JAN 16, 2009",R,51,https://www.metacritic.com/movie/my-bloody-valentine/
Savage Grace,movie,"MAY 30, 2008",Not Rated,51,https://www.metacritic.com/movie/savage-grace/
Creation,movie,"JAN 22, 2010",PG-13,51,https://www.metacritic.com/movie/creation/
Father of the Bride,movie,"DEC 20, 1991",PG,51,https://www.metacritic.com/movie/father-of-the-bride/
Look Who's Talking,movie,"OCT 13, 1989",PG-13,51,https://www.metacritic.com/movie/look-whos-talking/
The Wedding Video,movie,"MAY 9, 2014",Not Rated,51,https://www.metacritic.com/movie/the-wedding-video/
A Man Called Otto,movie,"DEC 30, 2022",PG-13,51,https://www.metacritic.com/movie/a-man-called-otto/
 Me Before You,movie,"JUN 3, 2016",PG-13,51,https://www.metacritic.com/movie/me-before-you/
Free Zone,movie,"APR 7, 2006",Not Rated,51,https://www.metacritic.com/movie/free-zone/
The Fountain,movie,"NOV 22, 2006",PG-13,51,https://www.metacritic.com/movie/the-fountain/
Any Which Way You Can,movie,"DEC 17, 1980",PG,51,https://www.metacritic.com/movie/any-which-way-you-can/
Moog,movie,"SEP 24, 2004",Not Rated,51,https://www.metacritic.com/movie/moog/
Wounds,movie,"OCT 18, 2019",R,51,https://www.metacritic.com/movie/wounds/
Eros,movie,"APR 8, 2005",R,51,https://www.metacritic.com/movie/eros/
Izzy Gets the F*ck Across Town,movie,"JUN 22, 2018",N/A,51,https://www.metacritic.com/movie/izzy-gets-the-fck-across-town/
All the Little Animals,movie,"SEP 3, 1999",R,51,https://www.metacritic.com/movie/all-the-little-animals/
Cowboys & Angels,movie,"SEP 17, 2004",Not Rated,51,https://www.metacritic.com/movie/cowboys-angels/
Heavy Metal,movie,"AUG 7, 1981",R,51,https://www.metacritic.com/movie/heavy-metal/
Barbarella,movie,"OCT 10, 1968",Approved,51,https://www.metacritic.com/movie/barbarella/
Jay and Silent Bob Strike Back,movie,"AUG 24, 2001",R,51,https://www.metacritic.com/movie/jay-and-silent-bob-strike-back/
The Loss of a Teardrop Diamond,movie,"DEC 30, 2009",PG-13,51,https://www.metacritic.com/movie/the-loss-of-a-teardrop-diamond/
Ishtar,movie,"MAY 15, 1987",PG-13,51,https://www.metacritic.com/movie/ishtar/
The Accountant,movie,"OCT 14, 2016",R,51,https://www.metacritic.com/movie/the-accountant/
I Think We're Alone Now,movie,"SEP 14, 2018",R,51,https://www.metacritic.com/movie/i-think-were-alone-now/
Jim Brown: All American,movie,"MAR 22, 2002",N/A,51,https://www.metacritic.com/movie/jim-brown-all-american/
Ice Castles,movie,"DEC 31, 1978",PG,51,https://www.metacritic.com/movie/ice-castles/
Trolls World Tour,movie,"APR 10, 2020",PG,51,https://www.metacritic.com/movie/trolls-world-tour/
A Letter to True,movie,"SEP 8, 2004",Not Rated,51,https://www.metacritic.com/movie/a-letter-to-true/
Oyster Farmer,movie,"JUL 29, 2005",Not Rated,51,https://www.metacritic.com/movie/oyster-farmer/
My Blueberry Nights,movie,"APR 4, 2008",PG-13,51,https://www.metacritic.com/movie/my-blueberry-nights/
White Bird in a Blizzard,movie,"OCT 24, 2014",R,51,https://www.metacritic.com/movie/white-bird-in-a-blizzard/
 Liberté,movie,"MAY 1, 2020",Not Rated,51,https://www.metacritic.com/movie/liberte/
Broadway Idiot,movie,"OCT 11, 2013",Not Rated,51,https://www.metacritic.com/movie/broadway-idiot/
A Little Chaos,movie,"JUN 26, 2015",R,51,https://www.metacritic.com/movie/a-little-chaos/
Teen Wolf: The Movie,movie,"JAN 26, 2023",TV-MA,51,https://www.metacritic.com/movie/teen-wolf-the-movie/
Yves Saint Laurent,movie,"JUN 25, 2014",R,51,https://www.metacritic.com/movie/yves-saint-laurent/
Fear,movie,"APR 12, 1996",R,51,https://www.metacritic.com/movie/fear/
Star Wars: Episode I - The Phantom Menace,movie,"MAY 19, 1999",PG,51,https://www.metacritic.com/movie/star-wars-episode-i---the-phantom-menace/
Popcorn,movie,"FEB 1, 1991",R,51,https://www.metacritic.com/movie/popcorn/
Walk Away Renee,movie,"NOV 30, 2012",Not Rated,51,https://www.metacritic.com/movie/walk-away-renee/
"Bright Lights, Big City",movie,"APR 1, 1988",R,51,https://www.metacritic.com/movie/bright-lights-big-city/
Holly,movie,"NOV 9, 2007",R,51,https://www.metacritic.com/movie/holly/
Predators,movie,"JUL 9, 2010",R,51,https://www.metacritic.com/movie/predators/
Just Wright,movie,"MAY 14, 2010",PG,51,https://www.metacritic.com/movie/just-wright/
Hotel for Dogs,movie,"JAN 16, 2009",PG,51,https://www.metacritic.com/movie/hotel-for-dogs/
Morning Light,movie,"OCT 17, 2008",PG,51,https://www.metacritic.com/movie/morning-light/
The Program,movie,"SEP 24, 1993",R,51,https://www.metacritic.com/movie/the-program-1993/
Captain Pantoja and the Special Services,movie,"SEP 27, 2002",R,51,https://www.metacritic.com/movie/captain-pantoja-and-the-special-services/
My Mother Likes Women,movie,"MAY 21, 2004",N/A,51,https://www.metacritic.com/movie/my-mother-likes-women/
The Broken Hearts Club: A Romantic Comedy,movie,"SEP 29, 2000",R,51,https://www.metacritic.com/movie/the-broken-hearts-club-a-romantic-comedy/
,movie,"MAR 28, 2003",R,51,https://www.metacritic.com/movie/assassination-tango/
The Transporter,movie,"OCT 11, 2002",PG-13,51,https://www.metacritic.com/movie/the-transporter/
Ender's Game,movie,"NOV 1, 2013",PG-13,51,https://www.metacritic.com/movie/enders-game/
The Young Black Stallion,movie,"DEC 25, 2003",G,51,https://www.metacritic.com/movie/the-young-black-stallion/
Youngblood,movie,"JAN 31, 1986",R,51,https://www.metacritic.com/movie/youngblood/
 Half of a Yellow Sun,movie,"MAY 16, 2014",R,51,https://www.metacritic.com/movie/half-of-a-yellow-sun/
Indian Summer,movie,"APR 23, 1993",PG-13,51,https://www.metacritic.com/movie/indian-summer/
Holy Rollers,movie,"MAY 21, 2010",R,51,https://www.metacritic.com/movie/holy-rollers/
Breakfast with Scot,movie,"OCT 10, 2008",PG-13,51,https://www.metacritic.com/movie/breakfast-with-scot/
The Christmas Chronicles 2,movie,"NOV 25, 2020",PG,51,https://www.metacritic.com/movie/the-christmas-chronicles-2/
